This is Ipopt version 3.10.0, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       48
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:        6
                     variables with only lower bounds:        3
                variables with lower and upper bounds:        3
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        8
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        8

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  3.2137521e+00 5.04e+00 6.53e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  4.1372216e+00 1.87e+00 1.48e+00  -0.7 3.05e+00    -  5.37e-01 9.48e-01f  1
   2  5.5536485e+00 1.02e+00 2.69e+00  -0.5 1.80e+00    -  4.65e-01 5.41e-01h  1
   3  6.5903882e+00 5.69e-01 8.12e+00  -0.9 1.72e+00    -  8.73e-01 7.57e-01h  1
   4  7.6502091e+00 2.52e-01 2.40e+00  -0.2 2.04e+00    -  7.90e-01 2.60e-01h  1
   5  8.4116951e+00 3.64e-01 1.33e+01  -0.9 1.03e+00    -  9.65e-01 7.41e-01h  1
   6  9.9088618e+00 2.04e-01 2.98e+00  -1.5 1.94e+00    -  7.13e-01 5.46e-01h  1
   7  1.3717807e+01 5.45e-01 3.43e+01   0.7 7.41e+01    -  9.25e-02 5.13e-02f  1
   8  9.3569229e+00 9.92e-01 3.55e+01  -0.0 2.06e+00    -  2.49e-01 9.37e-01f  1
   9  1.1520270e+01 1.28e-01 7.53e+00  -0.0 1.63e+00    -  1.00e+00 9.02e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0736350e+01 1.12e-01 6.50e+00  -0.7 9.58e-01    -  9.06e-01 7.38e-01f  1
  11  9.5619578e+00 7.63e-02 2.78e+01  -1.3 1.02e+00    -  1.00e+00 9.10e-01f  1
  12  8.6448131e+00 1.75e-01 1.57e+01  -0.4 2.65e+00    -  1.00e+00 3.61e-01f  1
  13  1.0999749e+01 0.00e+00 2.03e+00  -0.3 1.87e+00    -  1.00e+00 7.67e-01h  1
  14  1.0793444e+01 0.00e+00 3.38e+00  -0.4 2.04e-01    -  1.00e+00 1.00e+00f  1
  15  9.3376188e+00 2.66e-01 7.87e+00  -1.2 6.64e-01    -  9.90e-01 1.00e+00f  1
  16  1.0353866e+01 2.04e-01 3.06e+01  -1.2 1.37e+00    -  1.00e+00 6.46e-01h  1
  17  1.0756141e+01 1.98e-01 2.91e+01  -1.2 8.97e-01    -  7.71e-01 3.69e-01h  1
  18  1.2474688e+01 7.53e-02 1.63e+01  -1.2 1.58e+00    -  7.25e-01 7.04e-01h  1
  19  1.2713110e+01 0.00e+00 3.83e+00  -0.8 3.87e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
